Participant	condition1	condition2	Game 1	Game 2	Game 3	Game 4	Game 5	Game 6	Game 7	Game 8	Game 9	Game 10	Game 11	Game 12	Game 13	Game 14	Game 15	Avg Points
A11FRUGBC2C0VT	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1AQJ9W3U9PK7I	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B936OJOU8573	fast	fast	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	2.4
A1BL99ZVNZGA2G	fast	fast	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	5.066666667
A1CI99XLM06I1I	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1E9D1OT9VJYDZ	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1K113CD8JEHC7	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1MSG3V72SBKVU	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1RKNDO2JE532F	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1RUKAQH2YAA60	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1SJROP154XJCN	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1UM0BE0RD8NAO	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A22A0Y1H9IJQKI	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A23MLPQL9FA74O	fast	fast	0	0	0	0	0	268	0	0	0	0	428	578	0	0	0	84.93333333
A267B1OB4VKKAW	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27161SRMQ0I13	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A282K2NYSUW4UP	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2B5YS0J4C0OBJ	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2HW1TJJP1J6RT	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2LNC57LLU9HJ2	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2S4CVETZQ2H4F	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2URK0A8PWVIRD	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2XDWB9NVYI3LQ	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A347RDI3HZOUCY	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A36J0P94BTS6C1	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A399XSB2DP0CY6	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3BXTV2SXXU1MJ	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3C3O5G008FUTH	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3JK263LCXWP6R	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3M8POKV9BBRDR	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3N34TT9VBG9E1	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	5.866666667
A3UXQ4VQZ312FI	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3VW5PI9ZX9DOD	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4423YB0SNYI5	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4LTI1X16OFE8	fast	fast	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	6.133333333
A7MHCKF3TT0O3	fast	fast	0	0	0	0	0	0	0	0	0	518	90	0	0	0	170	51.86666667
A97JSQCEPTLJ0	fast	fast	0	0	0	0	0	100	86	214	0	130	0	0	0	0	0	35.33333333
AFO7Q4FD7E8FN	fast	fast	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	1.2
AJABAPM32ETMN	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APQPSP0HBJZ0H	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARR9GKAG3JFE5	fast	fast	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	2.933333333
ASTNA82SIVYUQ	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF5TV79945182	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2BVVFXMQU8AC7	fast	fast	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	6.266666667
A37FDUT6IFDE4O	fast	fast	0	0	0	0	0	0	0	0	0	0	0	0	0	20	14	2.266666667
