Type	Speed	Agent	subject	GameNb	Deflations	Misses	Resets	ShotReg	Entropy	LogCV	ShotPer	RightReg	RightPer	Score
Human	FFF	Human_FFF	A11LNK1U3DT08V	1	23.0	45.0	17.0	0.5308518300456713	3.1176633956856694	-1.0455391227291917	512.0	0.38692648209053904	528.0	526.0
Human	FFF	Human_FFF	A11LNK1U3DT08V	2	15.0	39.0	9.0	0.44881926389487736	3.0633281547065963	-1.2571387198628603	496.0	0.3037539971519762	496.0	1626.0
Human	FFF	Human_FFF	A11LNK1U3DT08V	3	19.0	50.0	10.0	0.35857620181504685	3.0534682200504824	-1.2331351247760833	480.0	0.23172105444163454	496.0	1604.0
Human	FFF	Human_FFF	A11LNK1U3DT08V	4	11.0	33.0	11.0	0.48256528111915464	2.6923935517061177	-1.3253352610181401	512.0	0.35828053339741994	512.0	1640.0
Human	FFF	Human_FFF	A11LNK1U3DT08V	5	19.0	49.0	12.0	0.33623582385276757	3.552236081383235	-1.0926958677333907	432.0	0.19943959882687454	432.0	1408.0
Human	FFF	Human_FFF	A11LNK1U3DT08V	6	12.0	31.0	4.0	0.6172683579815496	2.6546368924024475	-1.510541834500059	496.0	0.4029820994841335	496.0	1640.0
Human	FFF	Human_FFF	A11LNK1U3DT08V	7	12.0	30.0	2.0	0.5474491148156128	2.4389551721628084	-1.5562956244143777	496.0	0.39572453414584197	496.0	1840.0
Human	FFF	Human_FFF	A11LNK1U3DT08V	8	18.0	30.0	7.0	0.4991873481868384	2.7959481762448806	-1.378015773815826	480.0	0.272462489542862	496.0	1844.0
Human	FFF	Human_FFF	A11LNK1U3DT08V	9	18.0	25.0	4.0	0.5047437307890312	2.747486552680498	-1.3268085582580371	496.0	0.30230074474291596	496.0	1656.0
Human	FFF	Human_FFF	A11LNK1U3DT08V	10	19.0	31.0	5.0	0.4750273182323715	2.765256235179227	-1.4042294649343854	512.0	0.3182475484973234	512.0	1638.0
