Type	Speed	Agent	subject	GameNb	Deflations	Misses	Resets	ShotReg	Entropy	LogCV	ShotPer	RightReg	RightPer	Score
Model	FFF	MS17_FFF	model_102909103_1	1	88.0	50.0	0.0	0.11184025915403557	2.972056536812144	-0.9131789623195434	480.0	0.1225187678976104	368.0	126.0
Model	FFF	MS17_FFF	model_102909103_1	2	64.0	39.0	29.0	0.09172118825071399	3.0568897222826092	-0.7727741880368212	384.0	0.1477039121767384	368.0	280.0
Model	FFF	MS17_FFF	model_102909103_1	3	60.0	19.0	29.0	0.15114962818150865	3.096833713148234	-0.7650471150988998	464.0	0.18407805393085905	464.0	462.0
Model	FFF	MS17_FFF	model_102909103_1	4	83.0	5.0	18.0	0.036490674135130595	3.0624317938032397	-0.6961397241478872	368.0	0.14881700593043898	384.0	690.0
Model	FFF	MS17_FFF	model_102909103_1	5	44.0	9.0	38.0	0.12152732625415298	3.193234575155575	-0.8865398632891801	448.0	0.1501983701900423	416.0	482.0
Model	FFF	MS17_FFF	model_102909103_1	6	61.0	11.0	9.0	0.2379016691387735	3.237908804962778	-0.8776808655911658	448.0	0.1715564367124549	464.0	880.0
Model	FFF	MS17_FFF	model_102909103_1	7	67.0	19.0	13.0	0.1362371797150045	3.036138555347402	-0.7012334934196996	352.0	0.18069906910435282	368.0	578.0
Model	FFF	MS17_FFF	model_102909103_1	8	60.0	26.0	23.0	0.11730565233433186	3.0211257324902263	-0.7562693522477522	400.0	0.13373609369698128	400.0	482.0
Model	FFF	MS17_FFF	model_102909103_1	9	52.0	13.0	12.0	0.1792049212041396	3.123899329278676	-0.7671411465784985	384.0	0.21789396362728788	384.0	982.0
Model	FFF	MS17_FFF	model_102909103_1	10	49.0	13.0	25.0	0.03257950025167451	2.932891468349707	-0.733997555630443	416.0	0.13127333025023638	400.0	1176.0
Model	FFF	MS17_FFF	model_102909103_1	11	65.0	18.0	11.0	0.12264103536739297	3.120599710124227	-0.7394602171972943	368.0	0.18032822012257566	384.0	768.0
Model	FFF	MS17_FFF	model_102909103_1	12	57.0	25.0	10.0	0.12477016348991721	3.088412491526358	-0.8202922842039468	400.0	0.15991616564499345	432.0	854.0
Model	FFF	MS17_FFF	model_102909103_1	13	65.0	43.0	20.0	0.13540022600310656	3.0955952069082455	-0.8081533206610186	384.0	0.17446885401295217	384.0	726.0
Model	FFF	MS17_FFF	model_102909103_1	14	58.0	21.0	23.0	0.09107368908457587	3.027347673600133	-0.7752634115983221	352.0	0.1697758622431175	400.0	762.0
Model	FFF	MS17_FFF	model_102909103_1	15	50.0	4.0	22.0	0.10388958290710501	2.911550301123373	-0.7967046205404575	352.0	0.14941776289980263	384.0	1094.0
Model	FFF	MS17_FFF	model_102909103_2	1	89.0	25.0	2.0	0.10468221405084749	3.0548282906399398	-1.0529020316019135	1088.0	0.2789449790039129	352.0	184.0
Model	FFF	MS17_FFF	model_102909103_2	2	79.0	37.0	9.0	0.1482604960698908	3.6250744885489694	-0.908599301355977	448.0	0.20931269902777344	400.0	226.0
Model	FFF	MS17_FFF	model_102909103_2	3	83.0	11.0	15.0	0.08024504555606009	3.067781871788309	-0.7996368636756173	448.0	0.1557540961054268	352.0	290.0
Model	FFF	MS17_FFF	model_102909103_2	4	72.0	7.0	3.0	0.23276868369429338	3.1210102930098884	-0.9152191955346314	464.0	0.15041073200640487	368.0	286.0
Model	FFF	MS17_FFF	model_102909103_2	5	89.0	22.0	2.0	0.1220020112670855	3.1440335234987278	-0.829409463291046	384.0	0.18392436431381376	352.0	364.0
Model	FFF	MS17_FFF	model_102909103_2	6	61.0	12.0	4.0	0.06110446815957153	3.02345342682451	-0.7628375082804598	384.0	0.13775700659218623	384.0	1284.0
Model	FFF	MS17_FFF	model_102909103_2	7	87.0	20.0	3.0	0.08541923874996903	3.2852544846602556	-0.7452844459844477	304.0	0.18701616870453344	352.0	360.0
Model	FFF	MS17_FFF	model_102909103_2	8	61.0	16.0	3.0	0.1357641764259613	3.1733596980032206	-0.8488341622032045	448.0	0.23458519719776172	400.0	1078.0
Model	FFF	MS17_FFF	model_102909103_2	9	68.0	17.0	4.0	0.13153606044377572	3.2546726230231764	-0.9043854329065266	448.0	0.11583909365525268	416.0	968.0
Model	FFF	MS17_FFF	model_102909103_2	10	42.0	6.0	9.0	0.12693959539017918	2.9382272442264803	-0.819117970860729	400.0	0.14891942100370129	432.0	1590.0
Model	FFF	MS17_FFF	model_102909103_2	11	72.0	18.0	5.0	0.1473495495583404	3.2646491672656475	-0.7362534887715575	368.0	0.20259468511380607	384.0	766.0
Model	FFF	MS17_FFF	model_102909103_2	12	67.0	11.0	11.0	0.10710622634026913	3.0791475040825222	-0.752375083192872	400.0	0.1828834945001834	384.0	980.0
Model	FFF	MS17_FFF	model_102909103_2	13	75.0	14.0	4.0	0.0644151449875658	3.259800737300658	-0.7674540142694866	416.0	0.17890186150595216	384.0	872.0
Model	FFF	MS17_FFF	model_102909103_2	14	55.0	4.0	7.0	0.10099645346098439	3.036751249245348	-0.8833643102463206	368.0	0.16430355386801584	400.0	1494.0
Model	FFF	MS17_FFF	model_102909103_2	15	53.0	7.0	6.0	0.10088083117241559	3.1272115011010393	-0.8299617970035134	432.0	0.08848880063908228	400.0	1488.0
Model	FFF	MS17_FFF	model_102909103_3	1	79.0	41.0	3.0	0.12413661827915466	3.0733105645567766	-1.0604493989278054	400.0	0.20148579121798474	352.0	188.0
Model	FFF	MS17_FFF	model_102909103_3	2	76.0	14.0	4.0	0.21799289164422297	3.2666570652159	-0.9862863388897668	480.0	0.12362534701857544	416.0	584.0
Model	FFF	MS17_FFF	model_102909103_3	3	75.0	14.0	2.0	0.2603266574081732	3.2103800640678934	-1.0644555382251408	496.0	0.18633464994596005	480.0	772.0
Model	FFF	MS17_FFF	model_102909103_3	4	69.0	30.0	1.0	0.16047689174380314	3.1565237037497615	-0.8341101532905016	448.0	0.15707339985671911	384.0	546.0
Model	FFF	MS17_FFF	model_102909103_3	5	57.0	18.0	2.0	0.16936577636606573	3.0753091707089153	-0.9152253733101401	464.0	0.19255841145292912	464.0	1164.0
Model	FFF	MS17_FFF	model_102909103_3	6	75.0	19.0	2.0	0.16387226293078716	3.141613473819462	-0.8576357006594573	448.0	0.19731089146578415	384.0	662.0
Model	FFF	MS17_FFF	model_102909103_3	7	68.0	33.0	3.0	0.17644821463488877	3.101572173244506	-0.9930046377689746	448.0	0.17803279777430062	400.0	544.0
Model	FFF	MS17_FFF	model_102909103_3	8	72.0	10.0	3.0	0.1303173604772504	3.1018985729289112	-0.817627926279101	400.0	0.16622515003809057	416.0	1080.0
