Subject	Group	GameNb	ISI	IRI
A13G6IRFQBEE8K	Streamed	1	362.13149847094803	498.7142857142857
A13G6IRFQBEE8K	Streamed	2	305.7324414715719	499.44198895027625
A13G6IRFQBEE8K	Streamed	3	349.2080291970803	502.26630434782606
A13G6IRFQBEE8K	Streamed	4	338.90584415584414	500.81951219512194
A13G6IRFQBEE8K	Streamed	5	301.60829493087556	489.3538461538462
A13G6IRFQBEE8K	Streamed	6	338.73972602739724	488.34965034965035
A13G6IRFQBEE8K	Streamed	7	300.1923076923077	489.2814070351759
A13G6IRFQBEE8K	Streamed	8	298.8884297520661	487.19718309859155
A13G6IRFQBEE8K	Streamed	9	319.04635761589407	499.2826086956522
A13G6IRFQBEE8K	Streamed	10	320.2943548387097	489.8476821192053
A13G6IRFQBEE8K	Streamed	11	320.3161094224924	484.0731707317073
A13G6IRFQBEE8K	Streamed	12	307.7379807692308	489.44621513944224
A13G6IRFQBEE8K	Streamed	13	303.62629757785464	499.6904761904762
A13G6IRFQBEE8K	Streamed	14	309.2730375426621	488.8125
A13G6IRFQBEE8K	Streamed	15	309.64028776978415	483.8034682080925
A19X8IA9EKC3XH	Streamed	1	440.62068965517244	494.32
A19X8IA9EKC3XH	Streamed	2	368.13605442176873	500.79411764705884
A19X8IA9EKC3XH	Streamed	3	394.2	503.8
A19X8IA9EKC3XH	Streamed	4	412.4755244755245	515.4444444444445
A19X8IA9EKC3XH	Streamed	5	394.2110552763819	502.82312925170066
A19X8IA9EKC3XH	Streamed	6	377.0658307210031	511.95594713656385
A19X8IA9EKC3XH	Streamed	7	360.94835680751174	494.43055555555554
A19X8IA9EKC3XH	Streamed	8	366.59090909090907	504.47058823529414
A19X8IA9EKC3XH	Streamed	9	359.8864468864469	502.1505376344086
A19X8IA9EKC3XH	Streamed	10	377.5609756097561	511.4583333333333
A19X8IA9EKC3XH	Streamed	11	362.67420814479635	497.3921568627451
A19X8IA9EKC3XH	Streamed	12	344.7723076923077	500.1516587677725
A19X8IA9EKC3XH	Streamed	13	343.0736434108527	495.9585798816568
A19X8IA9EKC3XH	Streamed	14	353.4092409240924	486.6280193236715
A19X8IA9EKC3XH	Streamed	15	346.6877637130802	515.0065789473684
AAE1COF4E8740	Streamed	1	370.8232445520581	496.70723684210526
AAE1COF4E8740	Streamed	2	315.4642857142857	507.4009661835749
AAE1COF4E8740	Streamed	3	322.8222222222222	495.34965034965035
AAE1COF4E8740	Streamed	4	315.8345070422535	502.5977653631285
AAE1COF4E8740	Streamed	5	312.7617021276596	481.11920529801324
AAE1COF4E8740	Streamed	6	303.38303341902315	495.2240663900415
AAE1COF4E8740	Streamed	7	317.646875	490.2796208530806
AAE1COF4E8740	Streamed	8	299.4954954954955	495.7241379310345
AAE1COF4E8740	Streamed	9	319.0425531914894	499.83653846153845
AAE1COF4E8740	Streamed	10	319.5162601626016	501.06410256410254
AAE1COF4E8740	Streamed	11	313.8264984227129	507.84293193717275
AAE1COF4E8740	Streamed	12	339.97265625	504.9418604651163
AAE1COF4E8740	Streamed	13	320.26970954356847	507.8627450980392
AAE1COF4E8740	Streamed	14	313.6621621621622	498.5886524822695
