Participant	Browser	Platform	Condition	Completed	Resumes	Abandons	Duration (min)	Surveys (min)	Game Playing (min)	Resting between games (min)	Instructions etc. (min)	Games Completed	Bonus	Notes
A11LNK1U3DT08V	Chrome 101.0.4951	Mac OS X 10.15	fast-fast-fast	1	0	1	129.95785	0	56.23028333	64.30693333	9.420633333	15	498	
A122LRCSBAD6DC	Chrome 76.0.3809	Windows 10	fast-fast-fast	1	1	0	61.75831667	0.910183333	45.00246667	3.438666667	12.407	15	628	
A13B8594JIUFDF	Chrome 101.0.4951	Windows 10	fast-fast-fast	1	1	0	65.70516667	0	45.0044	16.41906667	4.2817	15	405	
A13G6IRFQBEE8K	Firefox 100.0	Windows 10	fast-fast-fast	1	0	0	58.80458333	0	45.00126667	2.212466667	11.59085	15	695	
A13YOOKZFZJJ10	Chrome 79.0.3945	Windows 8.1	fast-fast-fast	1	1	1	60.89333333	1.318866667	46.2198	9.635933333	3.718733333	15	504	
A19X8IA9EKC3XH	Chrome 101.0.4951	Windows 10	fast-fast-fast	1	1	0	104.0771167	0	45.00318333	4.913	54.16093333	15	758	
A1DHJE69R494AH	Chrome 102.0.5005	Windows 10	fast-fast-fast	1	2	3	155.2642333	0	50.29608333	92.98533333	11.98281667	15	213	
A1EP3XESXAG0EP	Chrome 76.0.3809	Windows 10	fast-fast-fast	1	0	0	92.66671667	21.35588333	45.00481667	4.436516667	21.8695	15	299	
A1FG2G0J8M9Q0N	Chrome 102.0.5005	Windows 8.1	fast-fast-fast	1	0	0	62.92185	0	45.00615	3.104016667	14.81168333	15	218	
A1RH69F7I73LRW	Chrome 77.0.3865	Linux None	fast-fast-fast	1	0	0	72.94005	3.057283333	45.00675	2.3763	22.49971667	15	678	
A1RV2LERVS0A4H	Chrome 76.0.3809	Windows 10	fast-fast-fast	1	6	1	80.36215	3.009283333	47.9458	10.10901667	19.29805	15	48	
A1SISJL5ST2PWH	Chrome 79.0.3945	Windows 10	fast-fast-fast	1	2	0	62.56023333	1.516	45.00328333	8.44465	7.5963	15	709	
A1U2A42K8FV3RA	Chrome 79.0.3945	Windows 10	fast-fast-fast	1	0	0	81.01238333	2.67785	45.00398333	6.412316667	26.91823333	15	497	
A1U6L1L2CUQNU5	Chrome 101.0.4951	Windows 10	fast-fast-fast	1	0	3	101.51245	0	59.63986667	15.66976667	26.20281667	15	365	
A25W2106F90G7L	Chrome 102.0.5005	Windows 7	fast-fast-fast	1	0	0	102.76	0	45.00406667	8.7897	48.96623333	15	242	
A2BFFKEYMCBFWW	Chrome 76.0.3809	Windows 8.1	fast-fast-fast	1	1	1	121.6251333	17.4278	61.38591667	26.36278333	16.44863333	15	463	
A2DMUU9GE8QA5Q	Chrome 101.0.4951	Windows 10	fast-fast-fast	1	0	0	61.82008333	0	45.00346667	4.863816667	11.9528	15	210	
A2FM6APZP3FN22	Chrome 102.0.5005	Windows 10	fast-fast-fast	1	2	2	83.61215	0	48.83991667	4.788233333	29.984	15	153	
A2PW5825FIRONK	Chrome 102.0.5005	Windows 10	fast-fast-fast	1	0	0	75.42061667	0	45.00415	14.742	15.67446667	15	43	
A2RY4MK1FONYH1	Chrome 72.0.3626	Windows 7	fast-fast-fast	1	0	0	91.79721667	2.77105	45.00216667	17.89678333	26.12721667	15	296	
A2W8TJXW68442D	Chrome 76.0.3809	Windows 10	fast-fast-fast	1	0	0	64.74475	1.430866667	45.00331667	11.80181667	6.50875	15	321	
A376AZWIBALRC	Chrome 102.0.5005	Windows 10	fast-fast-fast	1	0	0	84.39131667	0	45.00308333	4.48285	34.90538333	15	156	
A38V6MB0UIXY0N	Chrome 102.0.0	Windows 10	fast-fast-fast	1	8	11	71.56078333	0	55.85623333	8.231533333	7.473016667	15	308	
A3D1QQ8BEO75C6	Chrome 102.0.5005	Windows 10	fast-fast-fast	1	8	1	175.0358667	0	57.20521667	85.97085	31.8598	18	300	
A3H2KP0VBENV3N	Chrome 102.0.5005	Windows 7	fast-fast-fast	1	10	0	63.34515	0	45.0032	12.1445	6.19745	15	668	
A3IGG3RX4HXUV9	Chrome 79.0.3945	Windows 8.1	fast-fast-fast	1	1	1	66.61801667	1.1674	47.20046667	15.92493333	2.325216667	15	294	
A3LA0JBSIW4MUI	Chrome 74.0.3729	Chrome OS 11895.118	fast-fast-fast	1	0	1	132.7443167	2.229316667	117.3382333	2.325016667	10.85175	15	207	
A3LNWWZ7HGAGGM	Chrome 102.0.5005	Windows 7	fast-fast-fast	1	1	0	161.73115	0	45.01606667	43.51863333	73.19645	15	686	
A3Q4Y5ONYPSQGF	Chrome 101.0.4951	Windows 8.1	fast-fast-fast	1	3	1	80.0269	0	47.843	4.82695	27.35695	15	189	
A7OZPNXIVO1FX	Chrome 102.0.0	Windows 10	fast-fast-fast	1	1	0	219.2729167	0	45.00271667	45.35701667	128.9131833	15	78	
AAE1COF4E8740	Chrome 76.0.3809	Windows 10	fast-fast-fast	1	3	0	110.2785667	1.02055	45.00298333	61.91303333	2.342	15	713	
ACGHHDT7RY1AH	Chrome 79.0.3945	Windows 10	fast-fast-fast	1	2	0	68.9129	2.641783333	45.00286667	9.49635	11.7719	15	552	
