Participant	Age	Gender	Ethnicity	DominantHand	PlayedVideoGames	CurrentlyPlay	ControllerHand	howLong	Platform	hoursPerWeek	flightsim	2dAction	3dPlatform	3dShooter	racing	sports	Relationship	Heard
A11FRUGBC2C0VT	32	male	white	right	yes	yes	both	11	mobile	1	2	2	1	1	2	1	"social,challenge,competitive"	no
A1AQJ9W3U9PK7I	35	male	white	right	yes	yes	both	7	mobile	3	1	1	1	2	1	1	"social,challenge,competitive,skilled"	no
A1B936OJOU8573	28	female	white	right	yes	yes	right	5	pc	2	2	2	2	2	2	2	social	GOOD
A1BL99ZVNZGA2G	40	female	black	right	yes	yes	right	8	pc	10	0	2	1	2	2	0	"social,competitive,skilled"	no
A1CI99XLM06I1I	31	female	white	right	yes	yes	both	6	mobile	4	1	1	1	1	2	1	"social,challenge,competitive"	no
A1E9D1OT9VJYDZ	28	male	white	right	yes	yes	right	7	pc	14	1	2	1	4	1	2	"social,challenge,competitive,skilled"	no
A1K113CD8JEHC7	32	male	white	right	yes	yes	right	8	mobile	3	2	2	1	2	1	1	"social,challenge,competitive"	no
A1MSG3V72SBKVU	54	male	white	right	yes	no	right	5	mobile	2	5	4	3	5	6	4	"social,skilled"	no
A1RKNDO2JE532F	32	male	white	right	yes	yes	right	15	mobile	2	4	3	5	5	5	6	"social,challenge,competitive,skilled"	no
A1RUKAQH2YAA60	39	female	white	right	yes	yes	both	20	mobile	2	2	3	2	2	3	2	"social,challenge,competitive,skilled"	no
A1SJROP154XJCN	35	male	white	right	yes	yes	right	10	console	20	3	2	3	3	4	3	"social,challenge,competitive,skilled"	no
A1UM0BE0RD8NAO	35	male	indian	right	yes	yes	both	10	pc	8	1	1	1	1	1	1	challenge	no
A22A0Y1H9IJQKI	33	male	white	right	yes	yes	right	12	mobile	3	2	1	2	2	1	1	"social,challenge,competitive,skilled"	no
A23MLPQL9FA74O	30	male	white	right	yes	yes	both	10	pc	6	3	2	2	4	2	5	"challenge,competitive"	no
A267B1OB4VKKAW	35	male	white	right	yes	yes	right	10	handheld	8	6	6	6	6	6	6	"social,challenge,competitive"	no
A27161SRMQ0I13	59	male	white	right	yes	yes	right	3	pc	25	4	5	6	4	5	6	"challenge,competitive,skilled"	no
A282K2NYSUW4UP	35	male	white	right	yes	yes	right	10	pc	20	5	4	3	4	5	4	"social,challenge,competitive,skilled"	no
A2B5YS0J4C0OBJ	25	male	white	right	yes	yes	right	6	pc	38	1	2	3	3	4	5	"social,challenge,competitive,skilled"	no
A2HW1TJJP1J6RT	63	male	white	right	yes	yes	right	9	pc	20	4	3	4	4	6	5	"social,challenge"	no
A2LNC57LLU9HJ2	33	female	white	right	yes	yes	both	5	mobile	2	1	1	1	1	2	1	"social,challenge,competitive"	no
A2S4CVETZQ2H4F	33	female	white	right	yes	yes	right	20	pc	20	3	3	4	2	2	2	"social,challenge,competitive,skilled"	no
A2URK0A8PWVIRD	33	male	white	right	yes	yes	both	5	mobile	2	2	2	2	2	1	1	"social,challenge,competitive"	no
A2XDWB9NVYI3LQ	39	male	white	right	yes	yes	both	30	pc	15	1	1	1	1	3	3	"challenge,competitive,skilled"	no
A347RDI3HZOUCY	38	male	white	right	yes	yes	left	5	pc	5	1	2	0	3	4	5	"social,challenge,competitive"	no
A36J0P94BTS6C1	35	male	white	right	yes	yes	right	8	console	20	4	4	5	4	3	4	"social,challenge,competitive,skilled"	no
A399XSB2DP0CY6	31	female	white	right	yes	yes	right	12	mobile	2	1	1	1	1	1	1	"social,challenge,competitive"	no
A3BXTV2SXXU1MJ	25	male	white	right	yes	yes	right	3	pc	21	1	2	2	3	2	1	"social,challenge,competitive,skilled"	no
A3C3O5G008FUTH	32	male	white	right	yes	yes	right	10	console	20	5	5	5	4	4	4	"social,challenge,competitive,skilled"	no
A3JK263LCXWP6R	32	female	white	right	yes	no	right	1	pc	2	1	2	3	2	1	2	"social,challenge,competitive,skilled"	no
A3M8POKV9BBRDR	32	male	white	right	yes	yes	both	20	pc	15	0	0	0	1	2	2	"challenge,competitive,skilled"	no
A3N34TT9VBG9E1	40	female	white	right	yes	yes	right	3	pc	10	3	2	5	2	4	5	"social,competitive"	no
A3UXQ4VQZ312FI	32	male	white	right	no													no
A3VW5PI9ZX9DOD	39	female	white	right	yes	yes	right	5	pc	1	2	1	1	2	1	1		no
A4423YB0SNYI5	33	female	white	right	yes	yes	right	11	mobile	3	1	1	2	2	2	2	"social,challenge,competitive,skilled"	no
A4LTI1X16OFE8	51	female	white	right	yes	yes	right	15	pc	36	3	4	5	4	5	5	"social,challenge,competitive,skilled"	no
A7MHCKF3TT0O3	45	female	black	right	yes	yes	right	15	pc	8	6	5	4	3	4	5	"challenge,competitive,skilled"	no
A97JSQCEPTLJ0	25	female	white	right	yes	yes	right	15	pc	8	1	1	2	1	2	1	social	no
AFO7Q4FD7E8FN	33	male	white	right	yes	yes	both	7	mobile	2	1	1	1	1	1	1	"social,challenge"	no
AJABAPM32ETMN	46	female	white	right	yes	yes	both	25	pc	5	1	1	1	1	2	2	"challenge,competitive,skilled"	no
APQPSP0HBJZ0H	25	female	white	right	yes	yes	right	20	mobile	24	3	4	4	5	5	4	"social,challenge,competitive,skilled"	no
ARR9GKAG3JFE5	30	male	white	right	yes	yes	right	10	pc	7	3	3	3	3	3	3	"social,challenge"	no
ASTNA82SIVYUQ	40	male	white	right	yes	yes	both	3	pc	8	3	5	4	6	4	5	social	no
AF5TV79945182	45	female	white	right	yes	yes	right	3	mobile	2	5	3	5	6	6	3	challenge	no
