Participant	condition	Game Type	Avg Points	Game 1	Game 2	Game 3	Game 4	Game 5	Game 6	Game 7	Game 8	Game 9	Game 10	Game 11	Game 12	Game 13	Game 14	Game 15
A11FRUGBC2C0VT	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1AQJ9W3U9PK7I	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1B936OJOU8573	fast-fast-fast	auto-orbit	2.4	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0
A1BL99ZVNZGA2G	fast-fast-fast	auto-orbit	5.066666667	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0
A1CI99XLM06I1I	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1E9D1OT9VJYDZ	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1K113CD8JEHC7	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1MSG3V72SBKVU	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1RKNDO2JE532F	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1RUKAQH2YAA60	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1SJROP154XJCN	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1UM0BE0RD8NAO	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A22A0Y1H9IJQKI	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A23MLPQL9FA74O	fast-fast-fast	auto-orbit	84.93333333	0	0	0	0	0	268	0	0	0	0	428	578	0	0	0
A267B1OB4VKKAW	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27161SRMQ0I13	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A282K2NYSUW4UP	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2B5YS0J4C0OBJ	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2HW1TJJP1J6RT	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2LNC57LLU9HJ2	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2S4CVETZQ2H4F	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2URK0A8PWVIRD	fast-fast-fast	auto-orbit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
