Participant	Condition	Play Music?	Play Sports?	Played Before
A11FRUGBC2C0VT	fast-fast-fast	no	no	no
A1AQJ9W3U9PK7I	fast-fast-fast	no	yes	no
A1B936OJOU8573	fast-fast-fast	no	no	no
A1BL99ZVNZGA2G	fast-fast-fast	no	no	no
A1CI99XLM06I1I	fast-fast-fast	no	no	no
A1E9D1OT9VJYDZ	fast-fast-fast	no	no	no
A1K113CD8JEHC7	fast-fast-fast	no	no	no
A1MSG3V72SBKVU	fast-fast-fast	no	no	no
A1RKNDO2JE532F	fast-fast-fast	no	no	no
A1RUKAQH2YAA60	fast-fast-fast	yes	yes	no
A1SJROP154XJCN	fast-fast-fast	no	yes	no
A1UM0BE0RD8NAO	fast-fast-fast	no	no	no
A22A0Y1H9IJQKI	fast-fast-fast	no	no	no
A23MLPQL9FA74O	fast-fast-fast	no	yes	no
A267B1OB4VKKAW	fast-fast-fast	no	no	no
A27161SRMQ0I13	fast-fast-fast	no	no	no
A282K2NYSUW4UP	fast-fast-fast	no	yes	no
A2B5YS0J4C0OBJ	fast-fast-fast	no	no	no
A2HW1TJJP1J6RT	fast-fast-fast	no	no	no
A2LNC57LLU9HJ2	fast-fast-fast	no	no	no
A2S4CVETZQ2H4F	fast-fast-fast	no	no	no
A2URK0A8PWVIRD	fast-fast-fast	no	no	no
A2XDWB9NVYI3LQ	fast-fast-fast	no	no	no
A347RDI3HZOUCY	fast-fast-fast	no	no	no
A36J0P94BTS6C1	fast-fast-fast	yes	no	yes
A399XSB2DP0CY6	fast-fast-fast	no	no	no
A3BXTV2SXXU1MJ	fast-fast-fast	no	yes	no
A3C3O5G008FUTH	fast-fast-fast	no	no	yes
A3JK263LCXWP6R	fast-fast-fast	no	no	no
A3M8POKV9BBRDR	fast-fast-fast	no	no	no
A3N34TT9VBG9E1	fast-fast-fast	no	no	no
A3UXQ4VQZ312FI	fast-fast-fast	no	no	no
A3VW5PI9ZX9DOD	fast-fast-fast	no	no	no
A4423YB0SNYI5	fast-fast-fast	no	no	no
A4LTI1X16OFE8	fast-fast-fast	no	yes	no
A7MHCKF3TT0O3	fast-fast-fast	no	no	no
A97JSQCEPTLJ0	fast-fast-fast	no	no	no
AFO7Q4FD7E8FN	fast-fast-fast	no	no	no
AJABAPM32ETMN	fast-fast-fast	yes	no	no
APQPSP0HBJZ0H	fast-fast-fast	no	no	no
ARR9GKAG3JFE5	fast-fast-fast	no	no	no
ASTNA82SIVYUQ	fast-fast-fast	no	no	no
A2BVVFXMQU8AC7	fast-fast-fast	no	no	no
A37FDUT6IFDE4O	fast-fast-fast	no	no	no
AF5TV79945182	fast-fast-fast	no	yes	yes
