Participant	Condition	Play Music?	Play Sports?	Played Before	
A11LNK1U3DT08V	fast-fast-fast	no	no	no	
A122LRCSBAD6DC	fast-fast-fast	no	no	yes	
A13B8594JIUFDF	fast-fast-fast	no	no	no	
A13G6IRFQBEE8K	fast-fast-fast	yes	no	yes	
A13YOOKZFZJJ10	fast-fast-fast	no	yes	no	
A19X8IA9EKC3XH	fast-fast-fast	no	no	no	
A1DHJE69R494AH	fast-fast-fast	no	yes	yes	
A1EP3XESXAG0EP	fast-fast-fast	no	no	no	
A1FG2G0J8M9Q0N	fast-fast-fast	no	yes	no	
A1RH69F7I73LRW	fast-fast-fast	no	no	no	
A1RV2LERVS0A4H	fast-fast-fast	no	no	no	
A1SISJL5ST2PWH	fast-fast-fast	no	no	yes	
A1U2A42K8FV3RA	fast-fast-fast	no	no	no	
A1U6L1L2CUQNU5	fast-fast-fast	no	yes	no	
A25W2106F90G7L	fast-fast-fast	no	no	no	
A2BFFKEYMCBFWW	fast-fast-fast	no	yes	no	
A2DMUU9GE8QA5Q	fast-fast-fast	no	yes	no	
A2FM6APZP3FN22	fast-fast-fast	yes	yes	yes	
A2PW5825FIRONK	fast-fast-fast	no	yes	no	
A2RY4MK1FONYH1	fast-fast-fast	no	yes	yes	
A2W8TJXW68442D	fast-fast-fast	yes	no	no	
A376AZWIBALRC	fast-fast-fast	no	no	no	
A38V6MB0UIXY0N	fast-fast-fast	no	no	no	
A3D1QQ8BEO75C6	fast-fast-fast	no	no	no	
A3H2KP0VBENV3N	fast-fast-fast	no	no	no	
A3IGG3RX4HXUV9	fast-fast-fast	no	yes	no	
A3LA0JBSIW4MUI	fast-fast-fast	no	no	no	
A3LNWWZ7HGAGGM	fast-fast-fast	no	no	no	
A3Q4Y5ONYPSQGF	fast-fast-fast	no	yes	no	
A7OZPNXIVO1FX	fast-fast-fast	no	no	no	
AAE1COF4E8740	fast-fast-fast	no	no	yes	
ACGHHDT7RY1AH	fast-fast-fast	no	no	no	
AFM65NU0UXIGP	fast-fast-fast	no	no	no	
AJZYNIL3ITOK0	fast-fast-fast	no	no	no	
AQXRHIMQ7UK7O	fast-fast-fast	yes	yes	no	
ASZBND3G5UYJG	fast-fast-fast	no	no	no	
AUPXYEKITX8UT	fast-fast-fast	no	no	no	
AXMPSUNKUBEIL	fast-fast-fast	no	no	no	
AY4PZPXHSRCP5	fast-fast-fast	no	no	no	
AY5OS6NZWVX22	fast-fast-fast	no	no	no	
AZ8NBOTCBCLKG	fast-fast-fast	no	no	no	
