Subject	Condition1	Condition2	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
A11LNK1U3DT08V	fast	fast	17.0	9.0	10.0	11.0	12.0	4.0	2.0	7.0	4.0	5.0	5.0	3.0	5.0	2.0	2.0
A122LRCSBAD6DC	fast	fast	17.0	4.0	2.0	0.0	1.0	2.0	4.0	15.0	3.0	2.0	2.0	2.0	2.0	15.0	8.0
A13B8594JIUFDF	fast	fast	100.0	100.0	100.0	8.0	1.0	0.0	3.0	5.0	4.0	2.0	0.0	7.0	0.0	3.0	4.0
A13G6IRFQBEE8K	fast	fast	29.0	31.0	18.0	27.0	24.0	10.0	17.0	12.0	16.0	15.0	8.0	19.0	21.0	18.0	16.0
A13YOOKZFZJJ10	fast	fast	3.0	3.0	2.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0
A19X8IA9EKC3XH	fast	fast	12.0	10.0	9.0	6.0	0.0	4.0	6.0	7.0	5.0	1.0	3.0	10.0	9.0	5.0	8.0
A1DHJE69R494AH	fast	fast	100.0	35.0	42.0	21.0	80.0	10.0	2.0	12.0	7.0	9.0	6.0	2.0	4.0	11.0	6.0
A1EP3XESXAG0EP	fast	fast	38.0	28.0	13.0	16.0	10.0	8.0	10.0	11.0	13.0	6.0	7.0	24.0	7.0	9.0	7.0
A1FG2G0J8M9Q0N	fast	fast	0.0	0.0	59.0	82.0	11.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0
A1RH69F7I73LRW	fast	fast	11.0	3.0	6.0	4.0	6.0	9.0	4.0	5.0	2.0	2.0	8.0	7.0	4.0	6.0	10.0
A1RV2LERVS0A4H	fast	fast	13.0	14.0	46.0	26.0	67.0	42.0	45.0	27.0	31.0	21.0	6.0	10.0	3.0	7.0	1.0
A1SISJL5ST2PWH	fast	fast	15.0	6.0	9.0	13.0	1.0	0.0	0.0	3.0	3.0	3.0	1.0	12.0	9.0	10.0	5.0
A1U2A42K8FV3RA	fast	fast	43.0	10.0	8.0	11.0	14.0	11.0	15.0	14.0	5.0	9.0	10.0	9.0	15.0	10.0	10.0
A1U6L1L2CUQNU5	fast	fast	48.0	15.0	6.0	11.0	9.0	2.0	9.0	4.0	2.0	1.0	10.0	1.0	4.0	7.0	0.0
A25W2106F90G7L	fast	fast	4.0	8.0	6.0	5.0	5.0	12.0	8.0	5.0	6.0	4.0	8.0	10.0	15.0	4.0	17.0
A2BFFKEYMCBFWW	fast	fast	4.0	3.0	0.0	0.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0
A2DMUU9GE8QA5Q	fast	fast	18.0	86.0	11.0	5.0	21.0	31.0	14.0	17.0	19.0	15.0	5.0	4.0	12.0	8.0	16.0
A2FM6APZP3FN22	fast	fast	0.0	31.0	50.0	31.0	54.0	12.0	2.0	2.0	1.0	1.0	4.0	2.0	4.0	1.0	1.0
A2PW5825FIRONK	fast	fast	5.0	13.0	24.0	100.0	100.0	21.0	31.0	32.0	13.0	13.0	20.0	22.0	16.0	9.0	18.0
A2RY4MK1FONYH1	fast	fast	17.0	4.0	4.0	6.0	8.0	5.0	3.0	7.0	11.0	5.0	2.0	4.0	2.0	6.0	5.0
A2W8TJXW68442D	fast	fast	11.0	9.0	19.0	15.0	19.0	11.0	10.0	5.0	17.0	5.0	3.0	2.0	0.0	4.0	1.0
A376AZWIBALRC	fast	fast	47.0	44.0	10.0	27.0	6.0	14.0	12.0	2.0	1.0	0.0	5.0	0.0	12.0	3.0	6.0
A38V6MB0UIXY0N	fast	fast	0.0	10.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	1.0	0.0	1.0	0.0
A3D1QQ8BEO75C6	fast	fast	45.0	20.0	15.0	6.0	18.0	6.0	2.0	9.0	5.0	1.0	11.0	0.0	10.0	0.0	5.0
A3H2KP0VBENV3N	fast	fast	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
A3IGG3RX4HXUV9	fast	fast	36.0	30.0	7.0	7.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
A3LA0JBSIW4MUI	fast	fast	13.0	1.0	1.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	3.0	0.0	6.0	0.0
A3LNWWZ7HGAGGM	fast	fast	1.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
