Subject	condition1	condition2	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
A11LNK1U3DT08V	fast	fast	528.0	496.0	496.0	512.0	432.0	496.0	496.0	496.0	496.0	512.0	512.0	496.0	496.0	496.0	496.0
A122LRCSBAD6DC	fast	fast	496.0	512.0	512.0	480.0	496.0	480.0	480.0	480.0	480.0	496.0	432.0	448.0	432.0	400.0	400.0
A13B8594JIUFDF	fast	fast	0.0	0.0	512.0	480.0	496.0	496.0	512.0	496.0	480.0	480.0	480.0	480.0	496.0	480.0	480.0
A13G6IRFQBEE8K	fast	fast	352.0	368.0	416.0	400.0	400.0	352.0	352.0	352.0	368.0	368.0	368.0	368.0	352.0	352.0	352.0
A13YOOKZFZJJ10	fast	fast	496.0	528.0	528.0	528.0	528.0	528.0	544.0	512.0	512.0	512.0	512.0	496.0	528.0	512.0	512.0
A19X8IA9EKC3XH	fast	fast	432.0	432.0	368.0	448.0	432.0	368.0	416.0	480.0	416.0	448.0	432.0	400.0	400.0	400.0	416.0
A1DHJE69R494AH	fast	fast	0.0	0.0	0.0	0.0	0.0	480.0	448.0	448.0	480.0	464.0	480.0	480.0	464.0	480.0	480.0
A1EP3XESXAG0EP	fast	fast	512.0	480.0	496.0	448.0	512.0	448.0	400.0	368.0	480.0	480.0	400.0	496.0	528.0	400.0	448.0
A1FG2G0J8M9Q0N	fast	fast	0.0	0.0	0.0	0.0	496.0	496.0	496.0	464.0	512.0	512.0	496.0	496.0	496.0	496.0	496.0
A1RH69F7I73LRW	fast	fast	448.0	448.0	432.0	432.0	384.0	400.0	432.0	400.0	400.0	400.0	416.0	400.0	416.0	400.0	416.0
A1RV2LERVS0A4H	fast	fast	0.0	0.0	0.0	0.0	320.0	0.0	0.0	448.0	432.0	0.0	496.0	512.0	528.0	528.0	496.0
A1SISJL5ST2PWH	fast	fast	336.0	384.0	352.0	368.0	416.0	400.0	384.0	368.0	384.0	384.0	400.0	416.0	384.0	368.0	384.0
A1U2A42K8FV3RA	fast	fast	432.0	416.0	400.0	352.0	416.0	384.0	416.0	384.0	400.0	432.0	400.0	384.0	400.0	416.0	400.0
A1U6L1L2CUQNU5	fast	fast	0.0	464.0	592.0	464.0	432.0	432.0	432.0	496.0	480.0	480.0	464.0	464.0	448.0	480.0	496.0
A25W2106F90G7L	fast	fast	208.0	432.0	432.0	432.0	432.0	416.0	464.0	464.0	448.0	464.0	448.0	464.0	448.0	448.0	448.0
A2BFFKEYMCBFWW	fast	fast	448.0	496.0	432.0	464.0	464.0	464.0	512.0	496.0	512.0	496.0	512.0	512.0	496.0	480.0	496.0
A2DMUU9GE8QA5Q	fast	fast	0.0	0.0	0.0	400.0	432.0	448.0	480.0	464.0	464.0	432.0	464.0	432.0	448.0	464.0	448.0
A2FM6APZP3FN22	fast	fast	0.0	0.0	272.0	0.0	0.0	416.0	464.0	448.0	480.0	464.0	464.0	464.0	464.0	464.0	464.0
A2PW5825FIRONK	fast	fast	528.0	0.0	0.0	0.0	0.0	240.0	0.0	0.0	256.0	208.0	416.0	464.0	464.0	464.0	432.0
A2RY4MK1FONYH1	fast	fast	528.0	528.0	496.0	480.0	480.0	448.0	496.0	496.0	464.0	480.0	480.0	432.0	432.0	448.0	480.0
A2W8TJXW68442D	fast	fast	624.0	480.0	480.0	464.0	432.0	416.0	448.0	448.0	416.0	448.0	464.0	448.0	432.0	448.0	448.0
A376AZWIBALRC	fast	fast	0.0	0.0	0.0	240.0	480.0	480.0	496.0	480.0	496.0	496.0	496.0	496.0	512.0	496.0	480.0
A38V6MB0UIXY0N	fast	fast	0.0	512.0	480.0	480.0	496.0	496.0	496.0	496.0	480.0	480.0	480.0	496.0	512.0	496.0	496.0
A3D1QQ8BEO75C6	fast	fast	0.0	480.0	512.0	464.0	512.0	496.0	464.0	480.0	496.0	496.0	384.0	0.0	496.0	528.0	496.0
A3H2KP0VBENV3N	fast	fast	512.0	496.0	496.0	496.0	480.0	496.0	496.0	512.0	496.0	496.0	512.0	496.0	512.0	496.0	496.0
