Participant	condition1	condition2	Game 1	Game 2	Game 3	Game 4	Game 5	Game 6	Game 7	Game 8	Game 9	Game 10	Game 11	Game 12	Game 13	Game 14	Game 15
A11LNK1U3DT08V	fast	fast	526	1626	1604	1640	1408	1640	1840	1844	1656	1638	1644	1948	1860	1956	1734
A13B8594JIUFDF	fast	fast	0	0	468	1126	1628	1748	1634	1658	1518	1654	1844	1548	1868	1764	1454
A13G6IRFQBEE8K	fast	fast	1062	1978	2016	1692	2196	2406	2502	2674	2508	2506	2802	2426	2418	2466	2608
A19X8IA9EKC3XH	fast	fast	1712	1876	1924	2042	2540	2552	2536	2522	2840	2740	2752	2840	2858	3066	2736
A1DHJE69R494AH	fast	fast	0	0	0	0	0	248	594	876	554	1218	1216	1650	1402	1220	1416
A1FG2G0J8M9Q0N	fast	fast	0	0	0	0	634	714	746	936	1032	962	1066	1076	948	1168	1358
A1U6L1L2CUQNU5	fast	fast	0	144	694	1026	450	1330	1216	1554	1650	1536	1402	1936	1630	1534	1858
A25W2106F90G7L	fast	fast	78	308	302	514	902	590	836	718	1320	922	1134	826	690	1422	1122
A2DMUU9GE8QA5Q	fast	fast	0	0	0	730	362	540	924	460	562	512	1242	1220	1018	1302	1252
A2FM6APZP3FN22	fast	fast	0	0	0	0	0	492	848	652	784	980	410	576	662	878	1134
A2PW5825FIRONK	fast	fast	546	0	0	0	0	4	0	0	104	230	14	120	432	378	86
A376AZWIBALRC	fast	fast	0	0	0	164	644	180	790	544	978	1130	1108	908	372	468	220
A38V6MB0UIXY0N	fast	fast	12	846	930	1138	1474	1160	1078	1172	1180	876	890	768	998	1398	1194
A3D1QQ8BEO75C6	fast	fast	0	792	610	1164	772	994	1624	1106	986	1318	330	0	908	1340	1212
A3H2KP0VBENV3N	fast	fast	1780	1876	2084	2176	2276	2380	2070	2276	1964	2382	2280	2376	2482	2374	2262
A3LNWWZ7HGAGGM	fast	fast	2192	2284	2076	2280	2174	2178	2180	1968	2388	2480	2584	2276	2582	2268	2072
A3Q4Y5ONYPSQGF	fast	fast	0	252	630	826	1164	1060	0	0	436	54	516	498	1336	1224	1120
A7OZPNXIVO1FX	fast	fast	0	42	0	0	0	116	442	82	98	736	518	416	494	430	306
AJZYNIL3ITOK0	fast	fast	0	0	0	0	1370	1174	1276	1680	1778	1974	1980	1772	1782	1780	1982
AUPXYEKITX8UT	fast	fast	1846	1752	1514	1828	1636	1736	2166	1834	2054	1958	1182	1446	1586	1614	1740
AY4PZPXHSRCP5	fast	fast	0	0	690	1198	372	346	408	198	1026	828	926	1034	1058	664	1226
A1EP3XESXAG0EP	fast	fast	290	602	540	1110	280	896	1108	1068	998	1616	1424	892	1320	1196	1298
A2RY4MK1FONYH1	fast	fast	554	792	1322	796	762	554	998	934	628	1014	980	1290	1156	1274	1388
A2W8TJXW68442D	fast	fast	96	270	324	656	1176	1176	868	1292	870	1280	1308	1400	1706	1502	1714
AAE1COF4E8740	fast	fast	942	1676	2266	2306	2396	2514	2284	2618	2634	2812	2696	2310	2716	2598	2520
AY5OS6NZWVX22	fast	fast	262	910	992	1214	1424	1118	1726	1406	1950	1968	1756	1016	1534	1854	1728
A122LRCSBAD6DC	fast	fast	290	1742	1966	2158	1726	2050	2160	1726	2244	2156	2686	2558	2772	2228	2552
A1RH69F7I73LRW	fast	fast	1406	2126	1812	2326	2532	2210	2024	2752	2424	2316	2210	2422	2524	2106	2226
A1RV2LERVS0A4H	fast	fast	0	0	0	0	0	0	0	52	32	0	298	90	548	546	728
A2BFFKEYMCBFWW	fast	fast	848	848	1420	1540	1242	1562	1880	1766	1874	1554	1770	1972	1668	1448	1444
A3LA0JBSIW4MUI	fast	fast	0	296	98	364	426	392	506	320	944	1148	1138	1066	942	954	1456
A13YOOKZFZJJ10	fast	fast	684	1462	1776	1654	1766	1672	1772	1666	1460	1678	1878	1778	1876	1872	1782
A1SISJL5ST2PWH	fast	fast	1320	1924	2012	2012	2238	2538	2640	2646	2530	2330	2648	2444	2496	2754	2638
A1U2A42K8FV3RA	fast	fast	390	1622	1424	1610	1722	1948	1418	1330	1736	1622	1944	1918	1954	1816	2020
A3IGG3RX4HXUV9	fast	fast	0	0	422	944	1160	1272	958	982	1082	996	1180	1482	1370	1298	1282
AFM65NU0UXIGP	fast	fast	482	1810	1816	2346	2236	2560	2124	2426	2128	2320	2352	2226	2122	2206	2320
AQXRHIMQ7UK7O	fast	fast	0	712	1112	1426	840	1864	1122	1754	1864	1872	2174	2080	1872	2072	1768
ASZBND3G5UYJG	fast	fast	0	0	56	0	0	0	0	0	184	0	0	0	742	500	676
AXMPSUNKUBEIL	fast	fast	370	1136	1464	1876	1784	2182	2188	2188	1980	2286	2288	2180	1968	2190	1984
AZ8NBOTCBCLKG	fast	fast	0	0	236	0	640	900	588	178	1124	646	198	288	102	474	360
ACGHHDT7RY1AH	fast	fast	452	1152	1760	1542	1756	2140	1848	1636	2162	2054	1842	1922	2052	2266	2580
