Subject	Condition1	Condition2	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
A11LNK1U3DT08V	fast	fast	23.0	15.0	19.0	11.0	19.0	12.0	12.0	18.0	18.0	19.0	21.0	11.0	14.0	18.0	23.0
A13B8594JIUFDF	fast	fast	15.0	30.0	36.0	25.0	25.0	23.0	20.0	24.0	23.0	31.0	39.0	34.0	28.0	24.0	24.0
A13YOOKZFZJJ10	fast	fast	49.0	54.0	29.0	31.0	25.0	39.0	31.0	28.0	36.0	16.0	20.0	17.0	14.0	23.0	17.0
A1DHJE69R494AH	fast	fast	20.0	31.0	24.0	19.0	33.0	37.0	21.0	36.0	34.0	27.0	18.0	19.0	23.0	19.0	22.0
A1EP3XESXAG0EP	fast	fast	32.0	42.0	67.0	38.0	91.0	48.0	53.0	42.0	46.0	26.0	40.0	54.0	49.0	46.0	42.0
A1FG2G0J8M9Q0N	fast	fast	44.0	94.0	25.0	27.0	71.0	60.0	72.0	65.0	51.0	47.0	43.0	56.0	45.0	35.0	46.0
A1RV2LERVS0A4H	fast	fast	72.0	100.0	56.0	90.0	50.0	59.0	66.0	69.0	58.0	61.0	51.0	77.0	61.0	78.0	60.0
A1U6L1L2CUQNU5	fast	fast	89.0	78.0	62.0	90.0	51.0	27.0	44.0	33.0	23.0	20.0	28.0	25.0	29.0	26.0	17.0
A25W2106F90G7L	fast	fast	37.0	54.0	39.0	46.0	47.0	39.0	33.0	44.0	35.0	47.0	40.0	41.0	46.0	44.0	35.0
A2BFFKEYMCBFWW	fast	fast	80.0	69.0	79.0	57.0	57.0	46.0	28.0	27.0	21.0	31.0	23.0	18.0	23.0	34.0	33.0
A2DMUU9GE8QA5Q	fast	fast	38.0	46.0	44.0	31.0	35.0	32.0	26.0	30.0	28.0	39.0	22.0	43.0	31.0	30.0	29.0
A2FM6APZP3FN22	fast	fast	14.0	28.0	38.0	41.0	25.0	31.0	38.0	36.0	39.0	43.0	75.0	50.0	45.0	41.0	46.0
A2PW5825FIRONK	fast	fast	45.0	18.0	29.0	33.0	32.0	66.0	64.0	65.0	41.0	51.0	48.0	51.0	26.0	47.0	57.0
A2RY4MK1FONYH1	fast	fast	56.0	27.0	24.0	55.0	37.0	54.0	48.0	47.0	56.0	46.0	42.0	42.0	47.0	44.0	35.0
A2W8TJXW68442D	fast	fast	55.0	62.0	52.0	50.0	35.0	35.0	41.0	32.0	48.0	40.0	33.0	27.0	29.0	28.0	30.0
A376AZWIBALRC	fast	fast	36.0	34.0	31.0	29.0	37.0	55.0	25.0	25.0	35.0	21.0	20.0	25.0	37.0	23.0	28.0
A38V6MB0UIXY0N	fast	fast	0.0	49.0	31.0	35.0	19.0	30.0	18.0	19.0	26.0	24.0	19.0	53.0	13.0	19.0	10.0
A3D1QQ8BEO75C6	fast	fast	63.0	46.0	62.0	41.0	52.0	44.0	36.0	42.0	43.0	38.0	26.0	21.0	67.0	49.0	44.0
A3H2KP0VBENV3N	fast	fast	13.0	13.0	16.0	13.0	8.0	7.0	7.0	10.0	9.0	6.0	6.0	6.0	8.0	9.0	10.0
A3IGG3RX4HXUV9	fast	fast	48.0	57.0	45.0	58.0	33.0	25.0	27.0	27.0	22.0	17.0	25.0	20.0	33.0	25.0	24.0
A3LA0JBSIW4MUI	fast	fast	57.0	72.0	51.0	62.0	75.0	58.0	47.0	77.0	45.0	57.0	32.0	55.0	47.0	60.0	30.0
A3LNWWZ7HGAGGM	fast	fast	9.0	11.0	13.0	12.0	9.0	10.0	8.0	12.0	6.0	10.0	6.0	5.0	3.0	10.0	15.0
A3Q4Y5ONYPSQGF	fast	fast	52.0	38.0	43.0	48.0	38.0	52.0	43.0	54.0	38.0	52.0	52.0	42.0	16.0	27.0	30.0
A7OZPNXIVO1FX	fast	fast	47.0	49.0	48.0	67.0	56.0	55.0	44.0	48.0	62.0	31.0	39.0	48.0	47.0	49.0	52.0
AJZYNIL3ITOK0	fast	fast	100.0	75.0	23.0	12.0	20.0	23.0	20.0	24.0	21.0	13.0	20.0	19.0	12.0	16.0	17.0
AQXRHIMQ7UK7O	fast	fast	56.0	57.0	44.0	38.0	59.0	40.0	67.0	37.0	20.0	21.0	7.0	16.0	20.0	25.0	18.0
ASZBND3G5UYJG	fast	fast	18.0	22.0	59.0	74.0	100.0	78.0	66.0	77.0	81.0	74.0	46.0	51.0	46.0	60.0	41.0
AUPXYEKITX8UT	fast	fast	25.0	34.0	38.0	28.0	37.0	29.0	26.0	31.0	28.0	30.0	40.0	34.0	41.0	36.0	26.0
AXMPSUNKUBEIL	fast	fast	83.0	42.0	24.0	26.0	38.0	11.0	19.0	15.0	12.0	9.0	10.0	18.0	15.0	16.0	8.0
AY4PZPXHSRCP5	fast	fast	16.0	36.0	32.0	24.0	50.0	49.0	53.0	39.0	39.0	35.0	35.0	36.0	29.0	31.0	27.0
AY5OS6NZWVX22	fast	fast	40.0	36.0	28.0	26.0	22.0	30.0	20.0	23.0	12.0	15.0	16.0	31.0	19.0	17.0	23.0
AZ8NBOTCBCLKG	fast	fast	59.0	60.0	49.0	65.0	38.0	30.0	38.0	58.0	27.0	44.0	43.0	28.0	52.0	46.0	44.0
