Subject	Condition1	Condition2	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
A11LNK1U3DT08V	fast	fast	45.0	39.0	50.0	33.0	49.0	31.0	30.0	30.0	25.0	31.0	29.0	30.0	23.0	22.0	33.0
A13B8594JIUFDF	fast	fast	187.0	169.0	92.0	48.0	37.0	27.0	33.0	21.0	42.0	25.0	32.0	27.0	17.0	18.0	23.0
A13YOOKZFZJJ10	fast	fast	18.0	20.0	16.0	24.0	17.0	14.0	14.0	17.0	25.0	12.0	11.0	11.0	12.0	14.0	9.0
A1DHJE69R494AH	fast	fast	180.0	136.0	187.0	200.0	200.0	67.0	53.0	64.0	74.0	54.0	45.0	27.0	52.0	53.0	44.0
A1EP3XESXAG0EP	fast	fast	87.0	101.0	83.0	47.0	61.0	54.0	47.0	68.0	52.0	47.0	39.0	60.0	41.0	52.0	53.0
A1FG2G0J8M9Q0N	fast	fast	23.0	15.0	164.0	200.0	54.0	43.0	27.0	36.0	34.0	20.0	23.0	12.0	32.0	19.0	21.0
A1RV2LERVS0A4H	fast	fast	51.0	101.0	136.0	80.0	94.0	121.0	130.0	69.0	93.0	88.0	74.0	59.0	52.0	30.0	45.0
A1U6L1L2CUQNU5	fast	fast	144.0	80.0	57.0	97.0	79.0	35.0	42.0	39.0	26.0	36.0	50.0	32.0	35.0	38.0	22.0
A25W2106F90G7L	fast	fast	64.0	68.0	49.0	55.0	53.0	72.0	36.0	41.0	40.0	43.0	37.0	43.0	56.0	45.0	43.0
A2BFFKEYMCBFWW	fast	fast	35.0	30.0	43.0	30.0	30.0	21.0	12.0	18.0	14.0	23.0	15.0	14.0	17.0	26.0	30.0
A2DMUU9GE8QA5Q	fast	fast	104.0	200.0	127.0	162.0	168.0	139.0	149.0	174.0	139.0	116.0	141.0	104.0	115.0	120.0	96.0
A2FM6APZP3FN22	fast	fast	16.0	97.0	187.0	200.0	197.0	141.0	80.0	82.0	62.0	68.0	150.0	69.0	71.0	62.0	39.0
A2PW5825FIRONK	fast	fast	72.0	96.0	140.0	188.0	200.0	94.0	102.0	130.0	83.0	60.0	89.0	56.0	42.0	64.0	57.0
A2RY4MK1FONYH1	fast	fast	78.0	54.0	42.0	70.0	70.0	78.0	57.0	89.0	89.0	68.0	63.0	61.0	76.0	67.0	61.0
A2W8TJXW68442D	fast	fast	122.0	101.0	119.0	83.0	65.0	65.0	70.0	56.0	67.0	60.0	50.0	50.0	49.0	52.0	45.0
A376AZWIBALRC	fast	fast	200.0	200.0	145.0	200.0	90.0	120.0	69.0	80.0	62.0	40.0	46.0	49.0	72.0	68.0	90.0
A38V6MB0UIXY0N	fast	fast	0.0	47.0	38.0	32.0	15.0	21.0	12.0	15.0	11.0	12.0	11.0	32.0	1.0	10.0	4.0
A3D1QQ8BEO75C6	fast	fast	133.0	79.0	78.0	26.0	67.0	63.0	44.0	54.0	59.0	41.0	88.0	53.0	89.0	39.0	53.0
A3H2KP0VBENV3N	fast	fast	12.0	13.0	9.0	15.0	12.0	11.0	15.0	12.0	18.0	10.0	10.0	12.0	9.0	13.0	19.0
A3IGG3RX4HXUV9	fast	fast	154.0	199.0	45.0	35.0	20.0	17.0	23.0	9.0	10.0	3.0	10.0	9.0	16.0	3.0	11.0
A3LA0JBSIW4MUI	fast	fast	119.0	71.0	66.0	43.0	53.0	60.0	59.0	60.0	38.0	27.0	33.0	17.0	30.0	25.0	24.0
A3LNWWZ7HGAGGM	fast	fast	5.0	9.0	12.0	11.0	13.0	11.0	10.0	17.0	7.0	10.0	9.0	13.0	9.0	17.0	14.0
A3Q4Y5ONYPSQGF	fast	fast	114.0	192.0	144.0	99.0	74.0	139.0	115.0	104.0	54.0	54.0	45.0	53.0	89.0	89.0	92.0
A7OZPNXIVO1FX	fast	fast	200.0	191.0	190.0	130.0	153.0	130.0	102.0	109.0	119.0	86.0	101.0	97.0	103.0	98.0	117.0
AJZYNIL3ITOK0	fast	fast	121.0	26.0	5.0	0.0	15.0	15.0	12.0	10.0	11.0	13.0	13.0	14.0	10.0	10.0	10.0
AQXRHIMQ7UK7O	fast	fast	161.0	69.0	44.0	39.0	34.0	20.0	39.0	24.0	21.0	16.0	14.0	10.0	15.0	15.0	16.0
ASZBND3G5UYJG	fast	fast	100.0	200.0	118.0	88.0	200.0	112.0	90.0	83.0	67.0	96.0	71.0	83.0	43.0	52.0	64.0
AUPXYEKITX8UT	fast	fast	30.0	35.0	46.0	37.0	34.0	34.0	17.0	33.0	24.0	21.0	60.0	33.0	58.0	44.0	31.0
AXMPSUNKUBEIL	fast	fast	24.0	37.0	21.0	13.0	9.0	10.0	6.0	6.0	10.0	8.0	7.0	10.0	16.0	5.0	8.0
AY4PZPXHSRCP5	fast	fast	193.0	142.0	61.0	54.0	46.0	67.0	48.0	52.0	37.0	45.0	46.0	37.0	23.0	36.0	37.0
AY5OS6NZWVX22	fast	fast	88.0	58.0	55.0	51.0	38.0	44.0	39.0	48.0	25.0	17.0	23.0	67.0	34.0	24.0	36.0
AZ8NBOTCBCLKG	fast	fast	53.0	161.0	67.0	124.0	49.0	52.0	56.0	93.0	39.0	58.0	66.0	61.0	75.0	66.0	73.0
