Subject	condition1	condition2	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
A11LNK1U3DT08V	fast	fast	512.0	496.0	480.0	512.0	432.0	496.0	496.0	480.0	496.0	512.0	480.0	480.0	496.0	480.0	480.0
A13B8594JIUFDF	fast	fast	0.0	0.0	528.0	496.0	496.0	496.0	496.0	512.0	480.0	480.0	480.0	496.0	496.0	496.0	480.0
A13YOOKZFZJJ10	fast	fast	512.0	544.0	528.0	528.0	528.0	528.0	544.0	528.0	512.0	512.0	512.0	496.0	528.0	512.0	512.0
A1DHJE69R494AH	fast	fast	0.0	0.0	0.0	0.0	0.0	496.0	512.0	496.0	480.0	480.0	496.0	480.0	496.0	480.0	480.0
A1EP3XESXAG0EP	fast	fast	496.0	448.0	496.0	480.0	480.0	512.0	448.0	448.0	416.0	448.0	496.0	432.0	480.0	416.0	448.0
A1FG2G0J8M9Q0N	fast	fast	0.0	0.0	0.0	0.0	496.0	464.0	464.0	464.0	496.0	528.0	496.0	496.0	480.0	496.0	496.0
A1RV2LERVS0A4H	fast	fast	0.0	0.0	0.0	0.0	240.0	0.0	0.0	448.0	336.0	0.0	368.0	464.0	544.0	448.0	496.0
A1U6L1L2CUQNU5	fast	fast	0.0	560.0	528.0	496.0	480.0	512.0	480.0	512.0	512.0	512.0	480.0	464.0	496.0	496.0	512.0
A25W2106F90G7L	fast	fast	496.0	416.0	448.0	448.0	464.0	416.0	448.0	464.0	464.0	464.0	448.0	464.0	448.0	448.0	432.0
A2BFFKEYMCBFWW	fast	fast	432.0	512.0	432.0	464.0	464.0	528.0	512.0	496.0	496.0	496.0	496.0	496.0	496.0	480.0	496.0
A2DMUU9GE8QA5Q	fast	fast	0.0	0.0	0.0	432.0	368.0	416.0	448.0	432.0	464.0	432.0	464.0	448.0	464.0	464.0	448.0
A2FM6APZP3FN22	fast	fast	0.0	0.0	224.0	0.0	0.0	432.0	464.0	464.0	448.0	464.0	464.0	464.0	464.0	464.0	464.0
A2PW5825FIRONK	fast	fast	528.0	0.0	0.0	0.0	0.0	400.0	0.0	0.0	416.0	416.0	400.0	448.0	448.0	432.0	400.0
A2RY4MK1FONYH1	fast	fast	512.0	528.0	512.0	480.0	496.0	464.0	496.0	464.0	464.0	496.0	496.0	448.0	448.0	448.0	480.0
A2W8TJXW68442D	fast	fast	608.0	480.0	496.0	480.0	352.0	448.0	448.0	448.0	416.0	448.0	464.0	448.0	448.0	432.0	448.0
A376AZWIBALRC	fast	fast	0.0	0.0	0.0	176.0	496.0	496.0	496.0	480.0	512.0	496.0	496.0	512.0	512.0	512.0	480.0
A38V6MB0UIXY0N	fast	fast	0.0	512.0	496.0	496.0	512.0	496.0	496.0	496.0	512.0	480.0	496.0	496.0	512.0	496.0	512.0
A3D1QQ8BEO75C6	fast	fast	0.0	496.0	528.0	496.0	528.0	496.0	496.0	528.0	528.0	496.0	432.0	0.0	512.0	528.0	496.0
A3H2KP0VBENV3N	fast	fast	512.0	496.0	496.0	496.0	496.0	496.0	496.0	496.0	496.0	496.0	496.0	496.0	512.0	496.0	496.0
A3IGG3RX4HXUV9	fast	fast	0.0	0.0	448.0	448.0	464.0	496.0	512.0	512.0	512.0	496.0	496.0	496.0	512.0	528.0	512.0
A3LA0JBSIW4MUI	fast	fast	0.0	512.0	544.0	544.0	560.0	528.0	512.0	512.0	512.0	528.0	512.0	496.0	512.0	496.0	512.0
A3LNWWZ7HGAGGM	fast	fast	496.0	480.0	496.0	496.0	496.0	496.0	512.0	512.0	496.0	480.0	496.0	496.0	496.0	496.0	496.0
A3Q4Y5ONYPSQGF	fast	fast	0.0	480.0	432.0	496.0	480.0	480.0	0.0	0.0	528.0	512.0	496.0	528.0	480.0	480.0	480.0
A7OZPNXIVO1FX	fast	fast	0.0	464.0	176.0	0.0	464.0	464.0	480.0	448.0	464.0	432.0	448.0	480.0	432.0	464.0	512.0
AJZYNIL3ITOK0	fast	fast	0.0	0.0	0.0	0.0	512.0	512.0	512.0	512.0	528.0	512.0	512.0	512.0	512.0	512.0	496.0
AQXRHIMQ7UK7O	fast	fast	0.0	496.0	480.0	464.0	480.0	496.0	480.0	496.0	480.0	496.0	496.0	496.0	496.0	480.0	496.0
ASZBND3G5UYJG	fast	fast	0.0	0.0	528.0	560.0	0.0	0.0	0.0	0.0	560.0	0.0	0.0	0.0	496.0	528.0	512.0
AUPXYEKITX8UT	fast	fast	480.0	464.0	464.0	480.0	496.0	448.0	480.0	464.0	432.0	448.0	448.0	480.0	448.0	432.0	448.0
AXMPSUNKUBEIL	fast	fast	512.0	496.0	512.0	512.0	496.0	512.0	512.0	512.0	496.0	512.0	512.0	512.0	512.0	512.0	496.0
AY4PZPXHSRCP5	fast	fast	0.0	0.0	496.0	496.0	576.0	496.0	480.0	528.0	512.0	512.0	512.0	512.0	544.0	544.0	528.0
AY5OS6NZWVX22	fast	fast	528.0	528.0	512.0	512.0	496.0	496.0	496.0	496.0	496.0	496.0	496.0	496.0	480.0	512.0	496.0
AZ8NBOTCBCLKG	fast	fast	0.0	0.0	544.0	0.0	528.0	512.0	512.0	512.0	512.0	512.0	496.0	480.0	464.0	512.0	480.0
